Precip,Pot_ET,Strmflw
0,4.6,0.29
0,4.31,0.24
0,4.33,0.21
0,4.78,0.19
0,2.91,0.18
0,3.57,0.17
1.35,1.45,0.17
0,4.7,0.17
0,4.28,0.16
12.56,2.23,0.16
23.65,0.69,1.27
0,4.35,2.38
0,4.3,1.43
0,2.8,0.87
0,3.42,0.57
0,3.49,0.39
4.75,1.36,0.31
0,3.7,0.27
0,3.48,0.25
0,2.64,0.23
0,3.24,0.22
0,2.58,0.21
0,3.15,0.21
0.54,1.55,0.2
0,1.79,0.2
0,1.8,0.19
0,2.74,0.19
0,3.41,0.19
0,3.46,0.19
0,2.19,0.19
1.67,1.31,0.18
7.02,0.49,0.19
1.13,3.13,0.19
0,0.88,0.2
0,2.34,0.21
28.67,1.03,0.21
0.11,2.92,0.46
0,2.42,0.66
0,1.93,0.53
22.04,0.63,0.5
0.06,2.5,0.68
0,1.47,0.55
0.32,1.27,0.44
0.01,0.96,0.36
0,0.78,0.32
0,1.32,0.3
46.22,0.31,0.44
0,1.41,2.46
42.53,0.63,2.69
15.05,2.15,7.36
0,2.77,7.48
30.92,0.85,6.15
3.48,0.36,7.82
8.75,0.41,6.65
0,1.84,5.18
0,2.28,3.69
83.59,0.25,5.84
17.53,0.22,13.93
44.72,0.51,16.19
0,1.39,21.34
0,1.59,24.48
0,1.83,23.47
0.71,0.79,11.79
1.1,1.93,4.62
0,0.85,3.13
8.85,0.82,2.38
0,1.79,2.01
8.68,0.18,2.07
0,1.76,2.45
0,2.1,2.01
0,1.8,1.52
0,1.66,1.28
0,0.65,1.14
0,0.28,1.08
1.34,0.49,1.01
0.48,1.02,0.97
23.14,0.28,1.08
0.43,0.4,2.07
10.43,0.13,2.51
0.8,0.66,3.13
0,1.61,2.76
0,1.04,2.38
0,0.89,1.82
0,1.09,1.34
2.61,0.74,1.14
18.76,0.59,2.2
0,0.59,2.45
0,0.83,2.2
3.92,0.86,2.07
20.85,0.69,2.97
0,1.16,3.75
0,1.29,3.43
0,1.06,2.97
0,0.89,2.38
8.12,0.68,1.49
58.59,0.53,1.34
15.65,0.46,2.64
0,1.24,4.52
0,0.87,5.92
0,1.31,6.35
0,1.91,4.92
0,2.18,3.05
0,1.52,2.26
0,0.73,1.63
0.08,0.47,1.25
0,0.73,1.1
0,1.96,1.03
3.84,1.5,0.97
17.18,0.17,1.27
18.17,0.8,2.16
0,0.66,3.67
3.43,0.87,3.67
32.51,0.17,3.67
12.2,0.13,7.82
0.14,0.97,7.71
3.09,1.16,8.16
2.9,0.53,7.37
10.8,0.38,4.62
1.62,0.93,4.22
0,1.46,3.5
0,0.9,2.76
30.39,0.24,2.07
0,0.02,2.57
0,0.19,2.45
0,1.72,2.51
8.39,0.37,2.7
4.17,0.18,3.28
0,0.26,4.02
1.15,0.2,4.12
0,0.82,3.35
23.93,0.28,2.7
25.04,0.29,3.5
0,2.85,6.02
0,2.31,5.82
0,2.8,5.72
0.27,1.38,4.12
0.16,1.37,2.76
50.52,1.07,2.45
17.99,0.67,9.4
0,1.53,9.4
13.77,0.66,11.18
2.2,0.76,12.01
0,1.09,7.03
0.85,0.52,4.82
0,0.9,3.75
1.01,1.81,2.82
6.54,0.73,2.26
0,2.54,2.26
9.01,0.72,2.01
0.68,0.62,2.01
0,3.23,1.76
0.04,2.48,1.49
0.04,2.19,1.34
0,2.73,1.21
0,3.14,1.12
0,1.55,1.05
5.23,0.98,1.01
0,2.68,1.01
0,2.81,0.99
18.28,1.14,1.08
0,3.06,2.26
0,2.96,1.95
0,1.97,1.47
16.7,0.93,2.31
15.52,0.32,2.67
0,2.86,3.35
1.01,2.37,2.64
0,1.59,2.2
7.6,1.37,1.88
0,2.16,1.47
0,3.86,1.25
61.15,1.88,1.69
0.29,3.44,9.29
0,1.96,9.4
0.21,1.41,12.01
5.72,1.96,10.67
0.02,1.8,4.42
40.03,0.53,4.22
11,1.32,7.37
7.68,0.72,7.14
95.41,1.01,7.37
